t	P	cov	vg_GRMvarX_ganc.mean	vg_GRMvarX_ganc.CI95l	vg_GRMvarX_ganc.CI95r	vg_GRMvarX_noa.mean	vg_GRMvarX_noa.CI95l	vg_GRMvarX_noa.CI95r	vg_GRMvarX_gcta.mean	vg_GRMvarX_gcta.CI95l	vg_GRMvarX_gcta.CI95r	vg_GRMld_ganc.mean	vg_GRMld_ganc.CI95l	vg_GRMld_ganc.CI95r	vg_GRMld_noa.mean	vg_GRMld_noa.CI95l	vg_GRMld_noa.CI95r
 3	0.0	pos	0.66119307	0.65235332	0.67288956	2.95655011	2.85541946	3.05445785	2.95383372	2.86006836	3.05059037	0.9883982	0.9808743	0.9974661	1.1371767	1.1248398	1.1467575
 3	0.3	neg	0.31876133	0.31375499	0.32477628	0.29279284	0.28438938	0.29841827	0.29223335	0.28573406	0.29770747	0.9828090	0.9708156	0.9942982	0.9833052	0.9696223	0.9963420
 3	0.3	pos	0.31689904	0.31139741	0.32340182	4.88320518	4.82838301	4.94595208	4.88847408	4.80269108	4.94390707	0.9739255	0.9652932	0.9843243	1.2813260	1.2724241	1.2899616
 3	0.6	neg	0.13577248	0.13219702	0.13928173	0.11162031	0.10960294	0.11418660	0.11117405	0.10890833	0.11359761	0.9721586	0.9614430	0.9838049	0.9718855	0.9627291	0.9864721
 3	0.6	pos	0.13579880	0.13316499	0.13821732	6.18350399	6.08531842	6.28076778	6.18910611	6.10290703	6.26757254	0.9622647	0.9542693	0.9694642	1.5394995	1.5286871	1.5547207
 3	0.9	neg	0.06397335	0.06317526	0.06501780	0.04679893	0.04609172	0.04770236	0.04683943	0.04603550	0.04769893	0.9399972	0.9341657	0.9489546	0.9414439	0.9350368	0.9514230
 3	0.9	pos	0.06266713	0.06176083	0.06362160	7.05408072	6.94097989	7.14160850	7.05531878	6.97718879	7.14721262	0.9270281	0.9188058	0.9373266	1.9079420	1.8916024	1.9216882
 4	0.0	neg	0.87771100	0.85756870	0.89303668	0.87637456	0.85955233	0.89175764	0.87633583	0.86039952	0.89175370	0.9947627	0.9806029	1.0068163	0.9949645	0.9818413	1.0055234
 4	0.0	pos	0.88789751	0.87605155	0.90316180	1.74743142	1.67822640	1.81278077	1.74184557	1.68519884	1.80252051	0.9971418	0.9856954	1.0074996	1.0761855	1.0634350	1.0891083
 4	0.3	neg	0.50801463	0.49999644	0.51524242	0.48858493	0.48030492	0.49524267	0.48829221	0.48279074	0.49401683	0.9916301	0.9848951	0.9989561	0.9921979	0.9833188	0.9983638
