t	P	cov	vg_zeros	vg_123	vg_zeros_noa	vg_zeros_gcta	var.pheno	vg_HEreg_new	vg_zero_adj	vg.term1	vg.term2	vg.term3	vg.term4	vg.sum	var.pheno.j
0	0	zero	0.036363284	0.938770132	0.675374196313815	0.5099714	1.30376683451956	0.664883797873508	0.036363283503633	0.938770132112654	0.0602298678873465	0.0602298678873465	0.0011657513030362	1.06039561919038	1.3244842585879
0	0.3	zero	0.036363284	0.938770132	0.675374196313794	0.5099714	1.28700314284908	0.656334794563145	0.0363632835036337	0.938770132112654	0.0602298678873465	0.0602298678873465	0.0011657513030362	1.06039561919038	1.3244842585879
0	0.6	zero	0.036363284	0.938770132	0.675374196313802	0.5099714	1.28563985069709	0.655639554555786	0.036363283503633	0.938770132112654	0.0602298678873465	0.0602298678873465	0.0011657513030362	1.06039561919038	1.3244842585879
0	0.9	zero	0.036363284	0.938770132	0.675374196313803	0.5099714	1.25731664148625	0.641195527902041	0.036363283503634	0.938770132112654	0.0602298678873465	0.0602298678873465	0.0011657513030362	1.06039561919038	1.3244842585879
1	0	zero	0.118730146	0.968885066	0.693931685888651	0.5390131	1.29000581821438	0.69533003509377	0.118730146161476	0.938770334392055	0.0602298674265576	0.0300782552574738	0.00058216573420082	1.02966062281029	1.28846214235069
1	0.3	zero	0.076163486	0.959850586	0.678955222739892	0.5214856	1.2796861859449	0.667337918489188	0.076163485911377	0.938770423647968	0.0602298673659049	0.0392069386944058	0.000758851737090827	1.03896608144537	1.30310304848576
1	0.6	zero	0.053111657	0.950816106	0.678766016702255	0.5187785	1.26048272721798	0.653911338502053	0.0531116571472534	0.938770058157754	0.0602298676205124	0.0481646784234405	0.000932229118241868	1.04809683331995	1.30870379354003
1	0.9	zero	0.03940418	0.941781626	0.65538995370035	0.4991492	1.24685919240886	0.622368768403529	0.0394041804881463	0.938770095288214	0.0602298677774065	0.0573089349782477	0.00110921653939979	1.05741811458327	1.3136585321548
2	0	zero	0.326635276	0.983942533	0.783322693296356	0.6198674	1.24210752779992	0.769941963777764	0.326635275598907	0.938770052445375	0.0602298669730962	0.015069263538991	0.000291666148749185	1.01436084910621	1.26643510389882
2	0.3	zero	0.152234491	0.973552881	0.704654952652582	0.553592	1.24975685491141	0.691855396824117	0.152234490798719	0.938769564955078	0.0602298655784905	0.0254923478865571	0.000493405328761302	1.02498518374889	1.27474976191113
2	0.6	zero	0.078105745	0.960452885	0.68614708798066	0.5297431	1.2413875230316	0.657616474752081	0.0781057450124611	0.938770131194593	0.0602298671300213	0.0385401608529865	0.00074594622750339	1.0382861054051	1.29557118843277
2	0.9	zero	0.043326434	0.944642544	0.670404691131938	0.507844	1.2429563613482	0.631227930372515	0.0433264337382832	0.938769951356678	0.0602298677407083	0.0544989907639644	0.00105482996602416	1.05455363982738	1.32025825238068
3	0	zero	0.647420517	0.991471267	0.89455149856742	0.7079041	1.26990144904006	0.8989684423714	0.647420516841714	0.938769692259512	0.0602298644958786	0.00755799350334022	0.000146285241590394	1.00670383550032	1.26735324370953
3	0.3	zero	0.283661556	0.982459373	0.742729162937537	0.5898093	1.2529338799051	0.738992054653111	0.283661556260007	0.938769566077152	0.0602298664993631	0.0166277144672695	0.000321830023651863	1.01594897706744	1.26110684349512
3	0.6	zero	0.114607448	0.968162308	0.718848006802253	0.5541498	1.2392120108633	0.686709087977496	0.114607448014854	0.938769213439789	0.0602298651718056	0.0308458295094623	0.000597022162013451	1.03044193028307	1.29832802441687
3	0.9	zero	0.047465133	0.947360417	0.686857932372301	0.521412	1.30216881073041	0.678966443940564	0.0474651334440982	0.938770138233059	0.0602298675053224	0.0517136755841054	0.00100092008851355	1.051714601411	1.31757727772249
4	0	zero	0.874879811	0.995235633	0.964498784519558	0.7684499	1.27257299838436	0.977908593351162	0.874879810989019	0.938770431196469	0.0602298651255824	0.00379434007204268	7.34395913240162e-05	1.00286807598542	1.25980676423811
4	0.3	zero	0.472767806	0.988248592	0.811145180370011	0.647407	1.21592007405508	0.787195167383777	0.472767806383194	0.938770029799875	0.0602298664568129	0.0108218235037141	0.000209456791010707	1.01003117655141	1.25665806655553
4	0.6	zero	0.164651379	0.974329846	0.733241495037637	0.5678644	1.24845961701231	0.708955771338925	0.16465137931745	0.938770750375615	0.0602298670963483	0.024683645855109	0.000477752871268088	1.02416201619834	1.29219678051112
4	0.9	zero	0.051329971	0.949942396	0.679538988547178	0.5202005	1.23738038819778	0.643685896630679	0.0513299705537025	0.938770119055789	0.060229867501812	0.0491761889806534	0.000951806942193123	1.04912798248045	1.30683510932185
5	0	zero	0.961081521	0.997117817	0.984820583047276	0.7904169	1.2276864512319	0.970384118954719	0.961081521317944	0.938769579134017	0.0602298652924297	0.00191241682614546	3.70148978443267e-05	1.00094887615044	1.25133530587141
5	0.3	zero	0.674172806	0.992011585	0.871675962339398	0.6969795	1.30377335371229	0.908703300183715	0.674172805853986	0.938768898850947	0.0602298626371509	0.00704168098827876	0.000136291993915792	1.00617673447029	1.25518758640416
5	0.6	zero	0.228059087	0.979263877	0.708286701809534	0.5547959	1.30649299978215	0.724836959657838	0.228059087218508	0.938769862304778	0.0602298664518692	0.0197974262335076	0.0003831799111969	1.01918033490135	1.2786373104628
5	0.9	zero	0.056441637	0.952395276	0.688732514604528	0.5272456	1.26227081808293	0.665526734842625	0.0564416365738702	0.938769924936928	0.0602298670757909	0.0466504805986019	0.000902921763780096	1.0465531943751	1.30674809336569
