t	P	cov	tau2_dicker1	tau2_dicker2	exp.theta	exp.var.theta	va.term4	va.term1	va.term2	va.term3	exp.vg	var.prs.geno	var.pheno	vg_HEreg	vg_HEreg_new	vg_HEreg_cov	vg_123	vg_HEreg_noa	vg_HEreg_a
2	0.9	pos	146.4812801	7.144230891	0.5	0.225625	0.912985252	0.938770132	0.060229868	0.054357456	1.966342708	1.972953334	2.463835308	2.428697	5.983909421	0.048621004	0.944642544	5.98424937659976	0.0425379835811502
3	0	neg	0.986127754	0.660997949	0.5	0.03125	-0.01505235	0.938770132	0.060229868	0.007528733	0.991476384	0.991886509	1.242829025	0.5166536	0.64211209	0.897816737	0.991471267	0.642632755594051	0.652348892333012
3	0	pos	4.471026447	2.952647135	0.5	0.03125	0.126452251	0.938770132	0.060229868	0.007528733	1.132980984	1.135856019	1.423324939	2.049282	2.916794177	0.897742715	0.991471267	2.91822586193292	0.642779234221126
3	0.3	neg	0.948055873	0.292744228	0.5	0.06865625	-0.033070012	0.938770132	0.060229868	0.016540627	0.982470615	0.980404902	1.227653891	0.2182689	0.267958664	0.569318396	0.982459373	0.268124999967055	0.292323580105422
3	0.3	pos	15.78693297	4.883864207	0.5	0.06865625	0.277815595	0.938770132	0.060229868	0.016540627	1.293356223	1.287118774	1.603260764	2.916766	4.676336487	0.565922591	0.982459373	4.6764858059035	0.291094006815403
3	0.6	neg	0.920878817	0.111538224	0.5	0.128	-0.061654425	0.938770132	0.060229868	0.030837692	0.968183268	0.974405758	1.214794502	0.07618823	0.092553043	0.232956436	0.968162308	0.0926175138062613	0.113019277511326
3	0.6	pos	50.08578147	6.182516264	0.5	0.128	0.51794842	0.938770132	0.060229868	0.030837692	1.547786112	1.534182064	1.921638058	2.915699	5.602918165	0.230561883	0.968162308	5.60374721136768	0.113304803809969
3	0.9	neg	0.872051867	0.046844214	0.5	0.21434375	-0.103244067	0.938770132	0.060229868	0.051639583	0.947395516	0.941686553	1.175735802	0.02936154	0.034521414	0.053790806	0.947360417	0.0345326576767087	0.0472172172148336
3	0.9	pos	133.0580674	7.058246051	0.5	0.21434375	0.86733599	0.938770132	0.060229868	0.051639583	1.917975573	1.919593123	2.390485761	2.494369	5.962753578	0.054504254	0.947360417	5.96350010320182	0.0461319526301385
4	0	neg	0.986143652	0.876358972	0.5	0.015625	-0.007526175	0.938770132	0.060229868	0.003764367	0.995238192	0.993488345	1.24438602	0.6966817	0.866940968	0.96835927	0.995235633	0.867495418391242	0.869999372659024
4	0	pos	1.976220594	1.74689374	0.5	0.015625	0.063226125	0.938770132	0.060229868	0.003764367	1.065990492	1.074733736	1.344924266	1.291031	1.73633892	0.968464772	0.995235633	1.7375023970962	0.877660381645417
4	0.3	neg	0.971114667	0.488542095	0.5	0.044626563	-0.021495508	0.938770132	0.060229868	0.010751408	0.9882559	0.989343922	1.239916555	0.3754242	0.465494681	0.677045119	0.988248592	0.465734303274549	0.484463693167477
4	0.3	pos	7.494196238	3.765452243	0.5	0.044626563	0.180580137	0.938770132	0.060229868	0.010751408	1.190331545	1.179187421	1.477736819	2.493531	3.684782567	0.679566531	0.988248592	3.6864370366623	0.478851624282254
4	0.6	neg	0.934624532	0.161321533	0.5	0.1024	-0.04932354	0.938770132	0.060229868	0.024670154	0.974346614	0.975793848	1.212667572	0.1151794	0.139674323	0.274993504	0.974329846	0.139741855607863	0.160342628514996
4	0.6	pos	33.40601201	5.829668825	0.5	0.1024	0.414358736	0.938770132	0.060229868	0.024670154	1.43802889	1.433209642	1.789590871	3.020874	5.406128532	0.268538355	0.974329846	5.40657254641142	0.161999672676591
4	0.9	neg	0.879873984	0.051139413	0.5	0.203626563	-0.098081864	0.938770132	0.060229868	0.049057604	0.94997574	0.947283201	1.189317516	0.03208849	0.038163403	0.057050443	0.949942396	0.0381946984396495	0.0519292391049584
4	0.9	pos	120.2614085	6.948793096	0.5	0.203626563	0.82396919	0.938770132	0.060229868	0.049057604	1.872026794	1.862436267	2.336451976	2.533581	5.919590333	0.058126615	0.949942396	5.91987884905794	0.0511154132180572
5	0	neg	0.991364735	0.960506251	0.5	0.0078125	-0.003763087	0.938770132	0.060229868	0.001882183	0.997119096	0.996872729	1.246493582	0.7666924	0.955677156	0.989015595	0.997117817	0.956292959038232	0.954682057506197
5	0	pos	1.23387951	1.194001494	0.5	0.0078125	0.031613063	0.938770132	0.060229868	0.001882183	1.032495246	1.022180773	1.278653071	0.9300524	1.189214357	0.989043824	0.997117817	1.18954362740559	0.939698241696437
5	0.3	neg	0.968728177	0.675512751	0.5	0.029007266	-0.01397208	0.938770132	0.060229868	0.006988415	0.992016335	0.987766063	1.236507729	0.532538	0.658487353	0.796216658	0.992011585	0.658843659467578	0.66939947347999
5	0.3	pos	4.003430424	2.805128937	0.5	0.029007266	0.117377089	0.938770132	0.060229868	0.006988415	1.123365504	1.131522189	1.414117692	1.9634	2.776478676	0.793232232	0.992011585	2.77789362203278	0.688043451837583
5	0.6	neg	0.956423894	0.227701591	0.5	0.08192	-0.039458832	0.938770132	0.060229868	0.019736123	0.979277291	0.985381362	1.230408151	0.1653667	0.203468536	0.306313174	0.979263877	0.203590052290105	0.226852976940679
5	0.6	pos	21.71903873	5.287467535	0.5	0.08192	0.331486989	0.938770132	0.060229868	0.019736123	1.350223112	1.344395913	1.676030819	2.983062	4.999703848	0.314064769	0.979263877	5.00000872095576	0.229535059518305
5	0.9	neg	0.878809902	0.055341617	0.5	0.193445234	-0.093177771	0.938770132	0.060229868	0.046604724	0.952426953	0.955533012	1.190084121	0.03513073	0.041808524	0.062487064	0.952395276	0.0418362495547846	0.0565960467903493
5	0.9	pos	108.3145675	6.79875329	0.5	0.193445234	0.782770731	0.938770132	0.060229868	0.046604724	1.828375454	1.820801581	2.275460124	2.563839	5.83391341	0.063083085	0.952395276	5.83523978240531	0.0559453707103159
6	0	neg	1.003094344	0.995154114	0.5	0.00390625	-0.001881544	0.938770132	0.060229868	0.000941092	0.998059548	1.000876797	1.252271016	0.7921871	0.992032944	0.992257849	0.998058908	0.99264141263576	0.99173130559824
6	0	pos	1.105002798	1.096149643	0.5	0.00390625	0.015806531	0.938770132	0.060229868	0.000941092	1.015747623	1.02420176	1.285151524	0.8508601	1.093484154	0.992380122	0.998058908	1.09385909670414	1.00386429529407
6	0.3	neg	0.98258806	0.829877813	0.5	0.018854723	-0.009081852	0.938770132	0.060229868	0.00454247	0.994460618	0.992828693	1.241846308	0.6592736	0.818716486	0.90789314	0.99445753	0.819126923326535	0.82178365896299
6	0.3	pos	2.323611646	1.962373824	0.5	0.018854723	0.076295108	0.938770132	0.060229868	0.00454247	1.079837578	1.083219997	1.352473093	1.442007	1.950275667	0.914672687	0.99445753	1.95108221325865	0.826298957916804
6	0.6	neg	0.959073963	0.307959536	0.5	0.065536	-0.031567065	0.938770132	0.060229868	0.015788898	0.983221833	0.986081646	1.22883122	0.230243	0.282929787	0.37254006	0.983211102	0.283047406276548	0.304898356804589
6	0.6	pos	14.4440099	4.757867383	0.5	0.065536	0.265189591	0.938770132	0.060229868	0.015788898	1.27997849	1.272241263	1.594593818	2.8655	4.569308587	0.373808537	0.983211102	4.56986014147247	0.314826235922223
6	0.9	neg	0.887308786	0.060599653	0.5	0.183772973	-0.088518882	0.938770132	0.060229868	0.044274487	0.954755605	0.952115892	1.191182602	0.03901603	0.046475216	0.067481221	0.954725513	0.0464980283300064	0.0613726027810417
6	0.9	pos	100.0732514	6.788864998	0.5	0.183772973	0.743632194	0.938770132	0.060229868	0.044274487	1.786906682	1.785307615	2.226834509	2.635608	5.869062846	0.067932186	0.954725513	5.86963560518905	0.059905674921373
7	0	neg	0.990538371	0.988658508	0.5	0.001953125	-0.000940772	0.938770132	0.060229868	0.000470546	0.998529774	0.992852817	1.246212631	0.7921545	0.987192943	0.97457865	0.998529454	0.987785406131082	0.987012166985233
7	0	pos	1.02629996	1.02434537	0.5	0.001953125	0.007903266	0.938770132	0.060229868	0.000470546	1.007373812	1.007269344	1.258535949	0.8123774	1.022406162	0.974834895	0.998529454	1.02277411280161	0.988481729281035
7	0.3	neg	0.98889107	0.916639895	0.5	0.01225557	-0.005903204	0.938770132	0.060229868	0.002952605	0.996049401	0.994566005	1.246091164	0.7301779	0.909868229	0.945181444	0.996047395	0.9103394779253	0.910540531988648
7	0.3	pos	1.57366448	1.458404142	0.5	0.01225557	0.04959182	0.938770132	0.060229868	0.002952605	1.051544426	1.049259966	1.308161608	1.109196	1.451007623	0.947748385	0.996047395	1.45181289264133	0.902316549256788
7	0.6	neg	0.97913662	0.411080356	0.5	0.0524288	-0.025253652	0.938770132	0.060229868	0.012631119	0.986377466	0.991264903	1.243568845	0.3103748	0.385972432	0.477150353	0.986368881	0.386190651186017	0.406291645543368
7	0.6	pos	9.853679659	4.224164211	0.5	0.0524288	0.212151673	0.938770132	0.060229868	0.012631119	1.223782792	1.219683942	1.52550813	2.691115	4.105317811	0.473222821	0.986368881	4.10776262234667	0.409164714928454
7	0.9	neg	0.903891153	0.067324133	0.5	0.174584324	-0.084092938	0.938770132	0.060229868	0.042060763	0.956967825	0.958687562	1.19803955	0.04367904	0.052329217	0.073947675	0.956939237	0.0523785125309722	0.0677834827023794
7	0.9	pos	90.67751673	6.713681187	0.5	0.174584324	0.706450584	0.938770132	0.060229868	0.042060763	1.747511347	1.740311237	2.17043029	2.693742	5.846579231	0.072797141	0.956939237	5.84819657530583	0.0655416073248535
8	0	neg	1.003149983	1.002733804	0.5	0.000976563	-0.000470386	0.938770132	0.060229868	0.000235273	0.998764887	0.999777521	1.252656113	0.799647	1.001682703	0.99927878	0.998764727	1.00222079021431	1.00165251690125
8	0	pos	1.029462689	1.029252597	0.5	0.000976563	0.003951633	0.938770132	0.060229868	0.000235273	1.003186906	1.012034907	1.268551305	0.8107551	1.028484441	0.999620212	0.998764727	1.02888402029392	1.0146521343579
8	0.3	neg	0.991515442	0.960157777	0.5	0.00796612	-0.003837083	0.938770132	0.060229868	0.001919193	0.997082111	0.995552596	1.248412487	0.7653777	0.955507078	0.972371605	0.997080807	0.95607280444655	0.955028163255549
8	0.3	pos	1.286562831	1.245368531	0.5	0.00796612	0.032234683	0.938770132	0.060229868	0.001919193	1.033153877	1.034240098	1.292659157	0.9599335	1.240866829	0.970311159	0.997080807	1.24154432217861	0.951635312888597
8	0.6	neg	0.970779931	0.510937619	0.5	0.04194304	-0.020202922	0.938770132	0.060229868	0.010104895	0.988901973	0.985595838	1.237210786	0.3946244	0.488233564	0.577521266	0.988895105	0.488563196097165	0.505155219604663
8	0.6	pos	6.813274466	3.6460398	0.5	0.04194304	0.169721338	0.938770132	0.060229868	0.010104895	1.178826233	1.172151592	1.465755005	2.441353	3.578425379	0.574671061	0.988895105	3.57882379423368	0.508598955356362
8	0.9	neg	0.912956292	0.073773782	0.5	0.165855108	-0.079888291	0.938770132	0.060229868	0.039957725	0.959069434	0.96070162	1.200661918	0.04841571	0.058130899	0.07576147	0.959042275	0.0581685577053606	0.0734295426914787
8	0.9	pos	82.91993246	6.639046512	0.5	0.165855108	0.671128055	0.938770132	0.060229868	0.039957725	1.71008578	1.712396301	2.149003844	2.70939	5.822489526	0.076067676	0.959042275	5.82184040987837	0.0733093340671541
