t	P	cov	tau2_dicker1	tau2_dicker2	exp.theta	exp.var.theta	va.term4	va.term1	va.term2	va.term3	exp.vg	var.prs.geno	var.pheno	vg_HEreg	vg_HEreg_new	vg_HEreg_cov	vg_123	vg_HEreg_noa	vg_HEreg_a
2	0.9	pos	31.12003675	4.629949745	0.098749537	0.084522119	0.342016389	0.93058408	0.021441367	0.020363024	1.314404861	1.314540217	1.642570131	2.528675	4.153526027	0.315792459	0.931662423	4.15723851420082	0.363416106850656
3	0	neg	0.937949363	0.305741366	0.129449437	0.051427737	-0.024771465	0.9312104	0.027149765	0.012389943	0.945978642	0.95112414	1.188831879	0.2314812	0.27519223	0.629637	0.945970222	0.27553538284202	0.474838355641166
3	0	pos	12.48556548	4.058886928	0.129449437	0.051427737	0.2081009	0.9312104	0.027149765	0.012389943	1.178851007	1.178042367	1.474407383	2.605119	3.841006686	0.6291857	0.945970222	3.87793011664255	0.464363148327378
3	0.3	neg	0.907494197	0.216086922	0.129449437	0.064956077	-0.031287731	0.9312104	0.027149765	0.015649184	0.942721617	0.947031596	1.183636413	0.1595031	0.188793677	0.546752	0.942710981	0.187632951403169	0.389437665080709
3	0.3	pos	18.31533441	4.417282914	0.129449437	0.064956077	0.262842949	0.9312104	0.027149765	0.015649184	1.236852297	1.246233092	1.559322406	2.662277	4.151348177	0.550574465	0.942710981	4.13740519699916	0.39330168730263
3	0.6	neg	0.908106584	0.154658471	0.129449437	0.082375549	-0.039678259	0.9312104	0.027149765	0.019845874	0.93852778	0.935517876	1.171676082	0.1092209	0.127971516	0.397395223	0.938514291	0.128714013048999	0.324251684291413
3	0.6	pos	27.71165753	4.692832985	0.129449437	0.082375549	0.333330356	0.9312104	0.027149765	0.019845874	1.311536394	1.311470802	1.63979037	2.617495	4.292143096	0.396728628	0.938514291	4.28397093699259	0.317546238350049
3	0.9	neg	0.871421863	0.105139344	0.129449437	0.10428665	-0.050232292	0.9312104	0.027149765	0.025124685	0.933252557	0.93688339	1.166344643	0.07187898	0.083835663	0.253179958	0.93323548	0.0830746368608109	0.263898107508812
3	0.9	pos	43.64296771	5.089621917	0.129449437	0.10428665	0.421993014	0.9312104	0.027149765	0.025124685	1.405477863	1.402691415	1.747091158	2.547219	4.450223792	0.255499073	0.93323548	4.50698913716622	0.254701986922398
4	0	neg	0.928149731	0.335180407	0.159103585	0.049774027	-0.023974914	0.931815384	0.032232528	0.011991532	0.952064531	0.949564677	1.186720307	0.2580431	0.306224987	0.6985647	0.95205638	0.306686961518231	0.453674401274906
4	0	pos	10.76007403	3.861080608	0.159103585	0.049774027	0.201409206	0.931815384	0.032232528	0.011991532	1.177448651	1.181272765	1.472376471	2.532357	3.728582863	0.698512	0.95205638	3.71389911340659	0.446996392916328
4	0.3	neg	0.926885963	0.231952476	0.159103585	0.065719299	-0.031655356	0.931815384	0.032232528	0.015833059	0.948225615	0.953445253	1.192556624	0.1716656	0.204720948	0.572477696	0.948214853	0.204205473618565	0.360165141648231
4	0.3	pos	17.45185977	4.440473953	0.159103585	0.065719299	0.265931306	0.931815384	0.032232528	0.015833059	1.245812278	1.243197455	1.560277957	2.6911	4.19886401	0.573332212	0.948214853	4.1832992660795	0.361391846813982
4	0.6	neg	0.91704417	0.151302371	0.159103585	0.088591695	-0.042672422	0.931815384	0.032232528	0.021343464	0.942718955	0.938786322	1.171171739	0.1069836	0.125296169	0.396784262	0.942704448	0.126586228684079	0.273928773316134
4	0.6	pos	30.26253155	4.893615564	0.159103585	0.088591695	0.358483817	0.931815384	0.032232528	0.021343464	1.343875194	1.335802754	1.67049588	2.663972	4.45015425	0.403690093	0.942704448	4.46707550769443	0.268075051715344
4	0.9	neg	0.872916031	0.089183748	0.159103585	0.120633618	-0.058106221	0.931815384	0.032232528	0.029062987	0.935004679	0.93701779	1.172064911	0.05958395	0.069836257	0.231798998	0.934984925	0.0695181506414187	0.198627807784802
4	0.9	pos	54.18771424	5.404364449	0.159103585	0.120633618	0.488140561	0.931815384	0.032232528	0.029062987	1.48125146	1.469971942	1.844367059	2.555582	4.713431257	0.22552445	0.934984925	4.7452621582481	0.193222127775474
5	0	neg	0.928791814	0.372163519	0.187747604	0.047305443	-0.022785858	0.932399761	0.036739844	0.011396802	0.957750549	0.958974886	1.201168978	0.2891496	0.34731753	0.7192588	0.957742803	0.345219060786579	0.456759714594565
5	0	pos	9.697790376	3.86432249	0.187747604	0.047305443	0.191420153	0.932399761	0.036739844	0.011396802	1.17195656	1.167048663	1.464294939	2.526818	3.700006809	0.7198479	0.957742803	3.74131188777864	0.468132933405362
5	0.3	neg	0.920306448	0.248196483	0.187747604	0.064528601	-0.031081826	0.932399761	0.036739844	0.015546196	0.953603975	0.956014942	1.19583477	0.1866178	0.223164054	0.594419378	0.953593409	0.221391266920667	0.344145756371293
5	0.3	pos	16.71783681	4.565189899	0.187747604	0.064528601	0.26111318	0.932399761	0.036739844	0.015546196	1.245798981	1.246867138	1.564131325	2.768238	4.32988777	0.598271386	0.953593409	4.32627155293742	0.34947717807175
5	0.6	neg	0.926235594	0.152404073	0.187747604	0.091725323	-0.044181812	0.932399761	0.036739844	0.022098416	0.947056209	0.950554865	1.186875841	0.1074229	0.127497645	0.400693965	0.947041189	0.128236165247151	0.246373675220158
5	0.6	pos	31.55110728	5.143706677	0.187747604	0.091725323	0.371163952	0.932399761	0.036739844	0.022098416	1.362401974	1.355042767	1.69631098	2.785932	4.725807041	0.385468258	0.947041189	4.71159491986509	0.234872952502539
5	0.9	neg	0.885342847	0.080969412	0.187747604	0.133964347	-0.064527303	0.932399761	0.036739844	0.03227462	0.936886922	0.940379052	1.175796851	0.05359657	0.063018678	0.202526843	0.936864985	0.0626952540528308	0.159058315261391
5	0.9	pos	63.40634433	5.654050479	0.187747604	0.133964347	0.542082984	0.932399761	0.036739844	0.03227462	1.543497209	1.543000666	1.921698056	2.558914	4.917460058	0.194965759	0.936864985	4.93635543219912	0.153470705782906
6	0	neg	0.924795423	0.407872795	0.215415902	0.04455513	-0.021461101	0.932964232	0.040718256	0.010734198	0.962955585	0.965391363	1.202156185	0.3211843	0.386113693	0.7531126	0.96294829	0.382255208338314	0.46869172163573
6	0	pos	8.43176071	3.71290568	0.215415902	0.04455513	0.180291088	0.932964232	0.040718256	0.010734198	1.164707774	1.159440982	1.450368542	2.477993	3.594003095	0.752608	0.96294829	3.61499367798962	0.477138329205342
6	0.3	neg	0.943319101	0.280537176	0.215415902	0.062222945	-0.029971249	0.932964232	0.040718256	0.014990719	0.958701957	0.963524407	1.200968075	0.2103994	0.252682962	0.585010833	0.958691769	0.253597245646054	0.352121995399235
6	0.3	pos	15.14761466	4.514639707	0.215415902	0.062222945	0.251783407	0.932964232	0.040718256	0.014990719	1.240456613	1.230134587	1.534325668	2.774098	4.256369766	0.579804577	0.958691769	4.30660490568602	0.353567377010955
6	0.6	neg	0.922485556	0.156738952	0.215415902	0.092588764	-0.044597711	0.932964232	0.040718256	0.022306436	0.951391213	0.956969527	1.19693149	0.1115189	0.133480483	0.401596199	0.951376052	0.133232991873722	0.228998977254521
6	0.6	pos	31.85143453	5.292075211	0.215415902	0.092588764	0.374657844	0.932964232	0.040718256	0.022306436	1.370646768	1.368593392	1.713260808	2.815804	4.824206635	0.394584624	0.951376052	4.86451956914228	0.226600602511161
6	0.9	neg	0.878058263	0.074496377	0.215415902	0.144639085	-0.069669059	0.932964232	0.040718256	0.034846372	0.9388598	0.938883888	1.168700406	0.04892357	0.057176996	0.199273092	0.938836116	0.0574179907810971	0.132384323896057
6	0.9	pos	72.41640775	5.985262224	0.215415902	0.144639085	0.585278013	0.932964232	0.040718256	0.034846372	1.593806873	1.59197502	1.990437783	2.596102	5.167379508	0.187851921	0.938836116	5.20656248301624	0.128913710395454
7	0	neg	0.942752853	0.454008648	0.242141717	0.041773089	-0.020121061	0.933509475	0.044210917	0.010063951	0.967663281	0.965823515	1.208878788	0.355792	0.430109402	0.7496809	0.967656441	0.429519773908576	0.497196650098489
7	0	pos	7.34465845	3.559860361	0.242141717	0.041773089	0.169033638	0.933509475	0.044210917	0.010063951	1.15681798	1.152932745	1.44460064	2.409505	3.480772465	0.7491748	0.967656441	3.48192190753331	0.502640535115537
7	0.3	neg	0.933053346	0.304618648	0.242141717	0.059321592	-0.028573739	0.933509475	0.044210917	0.014291727	0.963438379	0.970632364	1.208078201	0.231544	0.279723259	0.656508732	0.963428665	0.278383398420572	0.361324675259282
7	0.3	pos	13.94945682	4.548040203	0.242141717	0.059321592	0.240043163	0.933509475	0.044210917	0.014291727	1.232055281	1.230643259	1.537543128	2.801109	4.306825893	0.659165101	0.963428665	4.36268816463805	0.368264234696178
7	0.6	neg	0.935085561	0.164658059	0.242141717	0.091802261	-0.044218872	0.933509475	0.044210917	0.022116952	0.955618472	0.959514848	1.199081704	0.1176272	0.141044623	0.382357309	0.95560344	0.141137571140654	0.220222104184916
7	0.6	pos	30.2490473	5.342335561	0.242141717	0.091802261	0.37147528	0.933509475	0.044210917	0.022116952	1.371312624	1.371907566	1.712511462	2.893352	4.954898464	0.402443333	0.95560344	4.93977142450828	0.214592136880816
7	0.9	neg	0.873493887	0.069626451	0.242141717	0.15298092	-0.073687114	0.933509475	0.044210917	0.036856082	0.94088936	0.944231946	1.180575833	0.04598083	0.054283857	0.168477455	0.94086431	0.0535880900818121	0.112814257081891
7	0.9	pos	78.65328041	6.13000603	0.242141717	0.15298092	0.619033013	0.933509475	0.044210917	0.036856082	1.633609487	1.632000573	2.034652931	2.586118	5.26185257	0.165460814	0.94086431	5.31973386045765	0.111085202730573
8	0	neg	0.961627678	0.506158171	0.267957152	0.039073077	-0.018820532	0.934036144	0.047257828	0.009413465	0.971886906	0.965149876	1.213380458	0.3945707	0.478764377	0.7939075	0.971880507	0.482851869849334	0.538064448763447
8	0	pos	6.78364733	3.57080013	0.267957152	0.039073077	0.158108114	0.934036144	0.047257828	0.009413465	1.148815551	1.137695838	1.422281944	2.441359	3.472300825	0.7937937	0.971880507	3.50587775783654	0.524590646847185
8	0.3	neg	0.943297683	0.341815262	0.267957152	0.056143577	-0.027042968	0.934036144	0.047257828	0.013526081	0.967777085	0.970173048	1.212755125	0.2604017	0.315803496	0.679055619	0.967767891	0.315861806829836	0.384189621621477
8	0.3	pos	12.37140881	4.414495146	0.267957152	0.056143577	0.227183415	0.934036144	0.047257828	0.013526081	1.222003469	1.225130376	1.532852579	2.75641	4.225170176	0.672370187	0.967767891	4.25460670339789	0.38509585549433
8	0.6	neg	0.930688795	0.173872059	0.267957152	0.089838116	-0.043272792	0.934036144	0.047257828	0.021643751	0.959664932	0.959349565	1.202949276	0.1251409	0.150538155	0.377836599	0.959650221	0.15040377190093	0.218946901643058
8	0.6	pos	28.17390293	5.275965006	0.267957152	0.089838116	0.363527423	0.934036144	0.047257828	0.021643751	1.366465146	1.370705891	1.723753356	2.863688	4.936291801	0.378915493	0.959650221	4.90074507071444	0.220851021407121
8	0.9	neg	0.881272582	0.067484823	0.267957152	0.159279341	-0.076720907	0.934036144	0.047257828	0.038373495	0.94294656	0.944259909	1.185445555	0.04390947	0.052052286	0.158092078	0.942920477	0.0518066661672782	0.102212686135145
8	0.9	pos	83.50307113	6.285497093	0.267957152	0.159279341	0.6445194	0.934036144	0.047257828	0.038373495	1.664186867	1.664679636	2.087120107	2.602675	5.432095324	0.164482585	0.942920477	5.44920605377933	0.0997335343625126
9	0	neg	0.952604661	0.539500098	0.292893219	0.036503514	-0.017582837	0.934544874	0.049896056	0.008794407	0.9756525	0.98714281	1.233662034	0.4245024	0.523692494	0.8340306	0.975646523	0.517835348871615	0.55875772936311
9	0	pos	5.805812513	3.30298669	0.292893219	0.036503514	0.147710449	0.934544874	0.049896056	0.008794407	1.140945787	1.133147292	1.421022332	2.272375	3.229095621	0.834268	0.975646523	3.25271367210506	0.566247727085766
9	0.3	neg	0.969234377	0.384234619	0.292893219	0.052882691	-0.02547228	0.934544874	0.049896056	0.01274047	0.97170912	0.970186008	1.209725689	0.290715	0.351685404	0.677589751	0.97170046	0.358395535094256	0.417403239020192
9	0.3	pos	10.89250317	4.236317784	0.292893219	0.052882691	0.213988328	0.934544874	0.049896056	0.01274047	1.211169728	1.210526576	1.505183721	2.700178	4.064263971	0.679129358	0.97170046	4.10148810595185	0.401014515671421
9	0.6	neg	0.922473494	0.185399002	0.292893219	0.087054782	-0.041932129	0.934544874	0.049896056	0.020973192	0.963481993	0.964897189	1.200516887	0.1345967	0.161585611	0.414387836	0.963467738	0.161937043966408	0.221981031750861
9	0.6	pos	26.54390107	5.36856035	0.292893219	0.087054782	0.352264739	0.934544874	0.049896056	0.020973192	1.357678861	1.351690895	1.690213627	2.956344	4.996852914	0.40542321	0.963467738	5.01491313028646	0.222761348254738
9	0.9	neg	0.891445238	0.06704052	0.292893219	0.163793479	-0.078895256	0.934544874	0.049896056	0.039461038	0.945006713	0.944315399	1.176128058	0.04374299	0.051447358	0.151180382	0.944979892	0.0516259492168214	0.0935230157563684
9	0.9	pos	86.10876245	6.39189167	0.292893219	0.163793479	0.662785732	0.934544874	0.049896056	0.039461038	1.686687701	1.686519844	2.112702548	2.604289	5.502088006	0.147899054	0.944979892	5.54305249904031	0.0925496597869571
10	0	neg	0.989524777	0.602077654	0.316979872	0.034081704	-0.016416311	0.935036274	0.052159941	0.008210946	0.97899085	0.975626208	1.216417847	0.4667921	0.567814241	0.8594479	0.978985269	0.580971721948778	0.615498988777732
10	0	pos	5.199607055	3.169857916	0.316979872	0.034081704	0.137910662	0.935036274	0.052159941	0.008210946	1.133317823	1.121295825	1.401520774	2.211732	3.099788344	0.8596536	0.978985269	3.12955790506146	0.590681814999748
10	0.3	neg	0.961548847	0.414288798	0.316979872	0.049654521	-0.023917351	0.935036274	0.052159941	0.011962741	0.975241605	0.974909214	1.222657664	0.3163934	0.386840815	0.70975117	0.975233474	0.389529410546236	0.439525336991914
10	0.3	pos	9.718539137	4.15902872	0.316979872	0.049654521	0.200925632	0.935036274	0.052159941	0.011962741	1.200084588	1.195986112	1.495042219	2.678001	4.003724556	0.701301655	0.975233474	4.04546919598073	0.434111152757631
10	0.6	neg	0.929215249	0.202693409	0.316979872	0.08372317	-0.040327374	0.935036274	0.052159941	0.020170542	0.967039383	0.964376638	1.208004274	0.1479717	0.178750446	0.418464421	0.967025673	0.178979889335704	0.232606770776035
10	0.6	pos	24.28225412	5.341018495	0.316979872	0.08372317	0.338783464	0.935036274	0.052159941	0.020170542	1.346150221	1.345643245	1.67368909	2.982897	4.992442165	0.426933409	0.967025673	5.01629890933593	0.234502884661545
10	0.9	neg	0.884216773	0.065626605	0.316979872	0.166755037	-0.080321765	0.935036274	0.052159941	0.040174535	0.947048986	0.945970722	1.186115982	0.0426834	0.050627463	0.142452062	0.94702168	0.0505006456041749	0.0876092138169133
10	0.9	pos	86.88119653	6.404176538	0.316979872	0.166755037	0.674769593	0.935036274	0.052159941	0.040174535	1.702140343	1.698594209	2.114320389	2.630932	5.56263317	0.140399376	0.94702168	5.55758935924496	0.0842714035534237
11	0	neg	0.964422958	0.62157552	0.340246045	0.031810328	-0.015322246	0.935510935	0.054081283	0.007663727	0.981933701	0.985327008	1.229922316	0.4903835	0.60313361	0.8669506	0.981928491	0.602816196727144	0.627002005130901
11	0	pos	4.455641125	2.878843974	0.340246045	0.031810328	0.128719601	0.935510935	0.054081283	0.007663727	1.125975547	1.127173527	1.408462626	2.024305	2.851157936	0.8667081	0.981928491	2.84644530060251	0.631699435341258
11	0.3	neg	0.95883245	0.446247094	0.340246045	0.046525969	-0.022410405	0.935510935	0.054081283	0.011209012	0.978390826	0.983519224	1.225651184	0.3444442	0.422168442	0.734482451	0.978383206	0.422189902995849	0.46378380731998
11	0.3	pos	8.663430313	4.022600416	0.340246045	0.046525969	0.188266031	0.935510935	0.054081283	0.011209012	1.189067262	1.188240493	1.485288626	2.617985	3.888463344	0.731250511	0.978383206	3.92733371330052	0.465776449792462
11	0.6	neg	0.926207868	0.217813636	0.340246045	0.080046951	-0.03855663	0.935510935	0.054081283	0.019284869	0.970320458	0.967769724	1.210158571	0.1603448	0.194042634	0.455163533	0.970307349	0.194147033661266	0.242535802598035
11	0.6	pos	22.23634779	5.290622432	0.340246045	0.080046951	0.323907747	0.935510935	0.054081283	0.019284869	1.332784835	1.331006119	1.65910767	2.996312	4.97120422	0.448397066	0.970307349	4.99406378329826	0.247465568109564
11	0.9	neg	0.885330261	0.065845868	0.340246045	0.16837096	-0.081100115	0.935510935	0.054081283	0.040563843	0.949055947	0.949936192	1.188787076	0.04313207	0.051274847	0.137185568	0.949028375	0.0508862189265519	0.0832116128813206
11	0.9	pos	87.95960787	6.51715947	0.340246045	0.16837096	0.681308383	0.935510935	0.054081283	0.040563843	1.711464444	1.721481558	2.157116849	2.622033	5.656031563	0.135973525	0.949028375	5.66352387586875	0.083694521240148
12	0	neg	0.95812443	0.65059361	0.362719686	0.029685385	-0.014298714	0.935969428	0.055689527	0.007151787	0.984512029	0.984360104	1.227051005	0.5173013	0.63475508	0.8707124	0.984507168	0.633111307214888	0.652041627111323
