t	P	cov	vg_GRMvarX_ganc.mean	vg_GRMvarX_ganc.CI95l	vg_GRMvarX_ganc.CI95r	vg_GRMvarX_noa.mean	vg_GRMvarX_noa.CI95l	vg_GRMvarX_noa.CI95r	vg_GRMvarX_gcta.mean	vg_GRMvarX_gcta.CI95l	vg_GRMvarX_gcta.CI95r	vg_GRMld_ganc.mean	vg_GRMld_ganc.CI95l	vg_GRMld_ganc.CI95r	vg_GRMld_noa.mean	vg_GRMld_noa.CI95l	vg_GRMld_noa.CI95r
 3	0.0	pos	0.50503161	0.48890749	0.51835740	4.07240167	3.98979890	4.15531888	4.05884182	3.97484483	4.14849262	0.9394160	0.9252349	0.9491667	1.1986072	1.1842085	1.2132665
 3	0.3	neg	0.43626388	0.43135768	0.44147110	0.21624556	0.21393863	0.21828710	0.21617650	0.21353428	0.21824525	0.9410602	0.9314505	0.9497079	0.9418053	0.9333981	0.9494437
 3	0.3	pos	0.43956690	0.43205842	0.44717478	4.42825431	4.30128825	4.53474626	4.40867351	4.27264780	4.51450701	0.9376729	0.9262762	0.9487216	1.2550991	1.2376151	1.2722636
 3	0.6	neg	0.37656820	0.37127749	0.38270100	0.15461245	0.15185244	0.15706436	0.15458576	0.15214171	0.15683950	0.9430018	0.9325557	0.9535041	0.9422141	0.9307017	0.9504685
 3	0.6	pos	0.36922945	0.36303904	0.37456313	4.70229312	4.59696433	4.80599070	4.69314177	4.58258380	4.82340854	0.9294237	0.9224397	0.9359944	1.3206343	1.3106142	1.3311931
 3	0.9	neg	0.32032447	0.31581235	0.32593619	0.10510377	0.10399878	0.10635533	0.10503422	0.10384056	0.10634106	0.9235297	0.9148437	0.9305299	0.9233478	0.9138132	0.9317466
 3	0.9	pos	0.31033769	0.30562058	0.31693778	5.10266891	5.03610544	5.17796405	5.08997799	5.01150283	5.17101828	0.9289631	0.9221447	0.9362918	1.4289345	1.4197731	1.4387955
 4	0.0	neg	0.48912851	0.48254618	0.49567395	0.33540114	0.33051373	0.34136210	0.33522705	0.33037854	0.34074930	0.9499762	0.9387105	0.9596657	0.9501059	0.9399224	0.9602566
 4	0.0	pos	0.48249298	0.47520011	0.48961072	3.86836402	3.80423745	3.92804501	3.86329725	3.79686766	3.94448113	0.9429238	0.9371293	0.9491231	1.1784922	1.1715570	1.1842943
 4	0.3	neg	0.40150396	0.39578951	0.40711522	0.23213056	0.22855480	0.23530831	0.23171278	0.22831458	0.23473029	0.9530007	0.9458626	0.9594430	0.9526557	0.9458777	0.9595620
 4	0.3	pos	0.40173859	0.39450450	0.40934605	4.44909701	4.37007166	4.53185248	4.43333350	4.35391260	4.51901700	0.9415076	0.9318914	0.9528694	1.2527333	1.2414719	1.2617783
 4	0.6	neg	0.31949155	0.31445668	0.32361611	0.15148866	0.14876395	0.15403063	0.15116864	0.14877640	0.15398769	0.9472723	0.9400650	0.9536671	0.9476529	0.9394073	0.9561784
 4	0.6	pos	0.31348839	0.30808474	0.31844403	4.90026694	4.85105916	4.96713608	4.89584224	4.84076428	4.95558560	0.9371363	0.9274568	0.9453248	1.3522590	1.3389240	1.3663306
 4	0.9	neg	0.24688577	0.24371632	0.25035839	0.08923567	0.08833828	0.09025029	0.08914335	0.08830291	0.09013827	0.9330918	0.9262067	0.9408562	0.9325376	0.9265092	0.9399060
 4	0.9	pos	0.24102577	0.23746121	0.24486000	5.40990617	5.33682937	5.47236958	5.41125204	5.34280090	5.47351608	0.9310224	0.9223786	0.9417723	1.4993190	1.4909990	1.5114934
 5	0.0	neg	0.48822413	0.48220627	0.49541496	0.37249290	0.36770017	0.37683402	0.37252748	0.36775705	0.37684114	0.9533451	0.9476531	0.9581594	0.9542985	0.9482124	0.9600185
 5	0.0	pos	0.50153017	0.49010395	0.50920722	3.86896932	3.74378596	3.96779475	3.86676079	3.76329750	3.99676637	0.9613885	0.9499752	0.9701599	1.1869950	1.1768618	1.1952604
 5	0.3	neg	0.38172700	0.37363331	0.38980438	0.24846791	0.24270691	0.25456012	0.24788227	0.24269732	0.25456838	0.9501264	0.9393165	0.9634911	0.9513419	0.9362246	0.9652981
 5	0.3	pos	0.38547250	0.37500588	0.39475566	4.56893970	4.49082288	4.64959594	4.56263584	4.46760865	4.65240355	0.9478001	0.9318551	0.9600856	1.2581156	1.2393013	1.2701032
 5	0.6	neg	0.28765466	0.28255487	0.29366075	0.15235036	0.14951301	0.15538341	0.15231799	0.14939134	0.15529458	0.9578485	0.9485102	0.9669141	0.9574736	0.9498885	0.9662934
 5	0.6	pos	0.27439980	0.26955672	0.28045808	5.13685553	5.00031841	5.25256097	5.13654776	5.00484110	5.26085249	0.9292308	0.9184584	0.9398879	1.3633284	1.3492175	1.3776889
 5	0.9	neg	0.20102388	0.19876136	0.20329726	0.08093371	0.07982191	0.08167478	0.08099739	0.08001147	0.08183038	0.9372386	0.9307210	0.9440327	0.9368178	0.9292776	0.9424957
 5	0.9	pos	0.19481288	0.19059269	0.19915600	5.66299913	5.59215101	5.72839164	5.65144509	5.59439714	5.70407616	0.9315118	0.9180777	0.9440808	1.5572118	1.5425434	1.5733049
 6	0.0	neg	0.49678917	0.48767120	0.50506827	0.40832836	0.40071145	0.41717431	0.40744201	0.40002538	0.41663243	0.9497707	0.9408386	0.9572271	0.9494554	0.9408821	0.9580460
 6	0.0	pos	0.50617449	0.50078657	0.51161123	3.72597564	3.65923600	3.80185438	3.70834521	3.64167472	3.79163691	0.9605903	0.9522042	0.9712867	1.1712062	1.1619136	1.1790657
 6	0.3	neg	0.38636715	0.37981395	0.39300706	0.28087006	0.27629520	0.28471934	0.27980123	0.27498469	0.28474076	0.9627313	0.9550772	0.9712266	0.9628023	0.9546935	0.9714576
 6	0.3	pos	0.38837042	0.37332674	0.40183648	4.52368894	4.42465438	4.59763332	4.51223634	4.44397566	4.58717236	0.9542439	0.9396151	0.9686384	1.2453196	1.2233407	1.2620580
 6	0.6	neg	0.26544152	0.26065996	0.27029494	0.15691739	0.15353636	0.16002955	0.15705014	0.15386586	0.15930560	0.9541584	0.9447969	0.9641852	0.9552210	0.9427251	0.9654893
