t	P	cov	va.term4	va.term1	va.term2	va.term3	exp.vg	var.pheno	vg_HEreg	vg_HEreg_new	vg_HEreg_cov	vg_123	vg_HEreg_noa	vg_HEreg_a
4	0	neg	-0.023974914	0.931815384	0.032232528	0.011991532	0.952064531	1.186720307	0.2580431	0.306224987	0.6985647	0.95205638	0.306686961518231	0.453674401274906
4	0	pos	0.201409206	0.931815384	0.032232528	0.011991532	1.177448651	1.472376471	2.532357	3.728582863	0.698512	0.95205638	3.71389911340659	0.446996392916328
4	0.3	neg	-0.031655356	0.931815384	0.032232528	0.015833059	0.948225615	1.192556624	0.1716656	0.204720948	0.572477696	0.948214853	0.204205473618565	0.360165141648231
4	0.3	pos	0.265931306	0.931815384	0.032232528	0.015833059	1.245812278	1.560277957	2.6911	4.19886401	0.573332212	0.948214853	4.1832992660795	0.361391846813982
4	0.6	neg	-0.042672422	0.931815384	0.032232528	0.021343464	0.942718955	1.171171739	0.1069836	0.125296169	0.396784262	0.942704448	0.126586228684079	0.273928773316134
4	0.6	pos	0.358483817	0.931815384	0.032232528	0.021343464	1.343875194	1.67049588	2.663972	4.45015425	0.403690093	0.942704448	4.46707550769443	0.268075051715344
4	0.9	neg	-0.058106221	0.931815384	0.032232528	0.029062987	0.935004679	1.172064911	0.05958395	0.069836257	0.231798998	0.934984925	0.0695181506414187	0.198627807784802
4	0.9	pos	0.488140561	0.931815384	0.032232528	0.029062987	1.48125146	1.844367059	2.555582	4.713431257	0.22552445	0.934984925	4.7452621582481	0.193222127775474
5	0	neg	-0.022785858	0.932399761	0.036739844	0.011396802	0.957750549	1.201168978	0.2891496	0.34731753	0.7192588	0.957742803	0.345219060786579	0.456759714594565
5	0	pos	0.191420153	0.932399761	0.036739844	0.011396802	1.17195656	1.464294939	2.526818	3.700006809	0.7198479	0.957742803	3.74131188777864	0.468132933405362
5	0.3	neg	-0.031081826	0.932399761	0.036739844	0.015546196	0.953603975	1.19583477	0.1866178	0.223164054	0.594419378	0.953593409	0.221391266920667	0.344145756371293
5	0.3	pos	0.26111318	0.932399761	0.036739844	0.015546196	1.245798981	1.564131325	2.768238	4.32988777	0.598271386	0.953593409	4.32627155293742	0.34947717807175
5	0.6	neg	-0.044181812	0.932399761	0.036739844	0.022098416	0.947056209	1.186875841	0.1074229	0.127497645	0.400693965	0.947041189	0.128236165247151	0.246373675220158
