t	P	cov	vg_zeros	vg_123	vg_zeros_noa	vg_zeros_gcta	var.pheno	vg_HEreg_new	vg_zero_adj	vg.term1	vg.term2	vg.term3	vg.term4	vg.sum	var.pheno.j
0	0	zero	0.790646526	0.929264401	0.611715448151951	0.5092055	1.14579633071719	0.583445793481012	0.790646526356785	0.929265142386037	0.00793521040912172	0.00793521040912172	0.000153586288643403	0.945289149492924	1.17346887730461
0	0.3	zero	0.790646526	0.929264401	0.611715448151951	0.5092055	1.1762322951153	0.598943953950334	0.790646526356791	0.929265142386037	0.00793521040912172	0.00793521040912172	0.000153586288643403	0.945289149492924	1.17346887730461
0	0.6	zero	0.790646526	0.929264401	0.611715448151951	0.5092055	1.16325166263461	0.592334144497688	0.790646526356783	0.929265142386037	0.00793521040912172	0.00793521040912172	0.000153586288643403	0.945289149492924	1.17346887730461
0	0.9	zero	0.790646526	0.929264401	0.61171544815195	0.5092055	1.21452453954848	0.618442575423054	0.790646526356785	0.929265142386037	0.00793521040912172	0.00793521040912172	0.000153586288643403	0.945289149492924	1.17346887730461
1	0	zero	0.612534233	0.933764189	0.578014973644923	0.4799101	1.22878301799353	0.589705381043577	0.612534232997969	0.929936757023994	0.0150643082742354	0.0112470744605773	0.000217687538884966	0.956465827297692	1.18159841685833
1	0.3	zero	0.594480535	0.932615635	0.601664415369143	0.4936364	1.18455500850058	0.584739469998196	0.5944805349465	0.929936307582218	0.0150596993757519	0.0123903970519949	0.000239816589594968	0.95762622059956	1.19500930520296
1	0.6	zero	0.574574809	0.93146708	0.528382935497978	0.4366926	1.24807882037659	0.545026785075186	0.574574808551887	0.929937480455923	0.0150716921868581	0.0135227595655673	0.000261733507596107	0.958793665715945	1.18750969078048
1	0.9	zero	0.552349525	0.930318526	0.530359370583293	0.4366433	1.22782152685063	0.536120043295098	0.552349524713422	0.929936982560937	0.0150665963938944	0.0146921692963682	0.000284367475846113	0.959980115727045	1.19161270592418
2	0	zero	0.510819365	0.939703363	0.636532068303183	0.5220829	1.2666725428533	0.661308074523225	0.510819364553999	0.930586738680718	0.0214665348490958	0.0123496351631448	0.000239027641740557	0.9646419363347	1.20015362633526
2	0.3	zero	0.457733473	0.937355879	0.623688450690674	0.5110363	1.21546784001649	0.621148187731019	0.4577334726194	0.930586319942976	0.0214625430991502	0.0147138133100665	0.000284786396525452	0.967047462748718	1.20158689037255
2	0.6	zero	0.416068375	0.934675566	0.554674521217372	0.4513507	1.26868418805713	0.572621496358517	0.416068375046824	0.930585272537583	0.0214526055233697	0.0173357404291616	0.000335533892124611	0.969709152382239	1.2104408951872
2	0.9	zero	0.367205912	0.931662423	0.551831750608023	0.4490811	1.24562959589138	0.559388709115456	0.367205912327604	0.93058445862566	0.0214448712351511	0.0203806014782828	0.000394467289458576	0.972804398628552	1.21062418673563
3	0	zero	0.468221325	0.945970222	0.638231735132818	0.5199538	1.26401132977562	0.657227494159887	0.468221325090533	0.931215446113978	0.0271938719125998	0.0124155927851364	0.000240304253934455	0.971065215065649	1.21139775176928
3	0.3	zero	0.390557664	0.942710981	0.614635767727926	0.5000124	1.22578573675162	0.612908068118946	0.390557664286658	0.931212633073608	0.0271691734067232	0.0156769347482568	0.000303427647302432	0.97436216887589	1.21286323711797
3	0.6	zero	0.318404422	0.938514291	0.584327058721031	0.4754813	1.23197265515666	0.58577995963834	0.318404421927105	0.931211693489358	0.027160973474151	0.0198217596266096	0.000383650884913281	0.978578077475032	1.21338774499031
3	0.9	zero	0.259424973	0.93323548	0.558715582500178	0.4505019	1.23175228450971	0.554906744500965	0.259424973218459	0.93120920197429	0.0271390246725392	0.025143417355247	0.000486651765524129	0.9839782957676	1.22660390828134
